well_id,latitude,longitude,maaiveld_nap,filter_1_gemiddeld,filter_2_gemiddeld,filter_3_gemiddeld,filter_4_gemiddeld,filter_5_gemiddeld,filter_1_trend_15_jaar,filter_2_trend_15_jaar,filter_3_trend_15_jaar,filter_4_trend_15_jaar,filter_5_trend_15_jaar,filter_1_trend_25_jaar,filter_2_trend_25_jaar,filter_3_trend_25_jaar,filter_4_trend_25_jaar,filter_5_trend_25_jaar
B07D0480,53.16196150935422,6.651365680627483,-0.09,,,,,,,,,,,,,,,
B07D0482,53.17152898323766,6.639695247892785,0.14,,,,,,,,,,,,,,,
B07D0483,53.17241800002778,6.640618348154985,0.06,,,,,,,,,,,,,,,
B07D0487,53.16379342988029,6.5576924549992075,0.25,-0.6211,,,,,,,,,,,,,,
B07D0491,53.176040198388804,6.524265043205489,-0.64,-0.9573,,,-0.9945,,,,,,,,,,,
B07E0030,53.28891872976937,6.780113628366211,1.27,-1.7411,-0.333,-0.444,-1.9112,-0.333,-0.5,,,,,,,,,
B07F0084,53.312749657098415,6.855700773556378,-0.08,-2.391,,,,,,,,,,,,,,
B07F0326,53.302113352184364,6.852443141527724,-1.67,,,,,,,,,,,,,,,
B07F0332,53.2703848771257,6.8455193981470535,-1.45,-2.4242,,,,,,,,,,,,,,
B41B0515,51.999485056068785,6.591298940287748,21.419,20.0913,,,,,,,,,,,,,,
B34D1442,52.03807590793898,6.603428866255744,24.395,22.9153,,,,,,,,,,,,,,
B34D1445,52.03523811328725,6.616148515788356,27.339,25.27,,,,,,,,,,,,,,
B41B0527,52.00959324798999,6.596989300810236,24.67,22.7484,,,,,,,,,,,,,,
B41B0509,51.98717746922567,6.576438336865567,19.85,18.5465,,,,,,,,,,,,,,
B41B0542,51.996547296246725,6.582322497936023,20.778,19.2022,,,,,,,,,,,,,,
B34D1441,52.039789638359395,6.598504894861172,24.883,21.367,,,,,,,,,,,,,,
B07B0135,53.30877120420645,6.574949887629509,-0.28,,,,,,,,,,,,,,,
B07B0136,53.28224584235142,6.567472196080078,-0.17,,,,,,,,,,,,,,,
B34D1444,52.034416213860304,6.608751204803142,28.221,25.7061,,,,,,,,,,,,,,
B34D1431,52.041101755792866,6.608102755568689,23.83,22.6773,,,,,,,,,,,,,,
B07C0229,53.18429692391703,6.389468465576212,0.41,-0.3363,-1.6,-0.5,,,,,,,,,,,,
B07C0237,53.268908770356155,6.435950537560076,0.69,,,,,,,,,,,,,,,
B07C0242,53.25053832199537,6.38785911155271,-0.88,,,,,,,,,,,,,,,
B07C0247,53.240913206550324,6.3997694651694506,0.64,,,,,,,,,,,,,,,
B07C0257,53.25620089357281,6.509667193615769,1.59,,,,,,,,,,,,,,,
B07C0272,53.169469309935046,6.400191629854394,-0.5,-1.4924,-0.5,-0.625,,,,,,,,,,,,
B07C0279,53.16351258797006,6.392575947200275,0.64,,,,,,,,,,,,,,,
B07C0103,53.205129601090704,6.4915181330090945,0.21,-1.2084,0,-0.071,-1.3697,0,-0.049,,,,,,,,,
B07C0291,53.204744106776815,6.405058891247677,-0.81,-1.2762,,,,,,,,,,,,,,
B07C0295,53.170715244794295,6.497953264213839,-0.49,-0.8083,,,-0.8053,,,,,,,,,,,
B34D1426,52.04715665305967,6.614507623013505,22.928,21.4452,,,,,,,,,,,,,,
B27F0388,52.383374308157826,6.281116448739731,6.771,4.125,,,,,,,,,,,,,,
B07D0199,53.19909106313448,6.579718741860963,4.95,,,,,,,,,,,,,,,
B07D0285,53.22983384191757,6.5326440670286905,0.5,-1.0734,,,,,,,,,,,,,,
B07D0323,53.22143733054456,6.59171478438389,0.38,-1.2642,,,,,,,,,,,,,,
B07D0434,53.19337127264906,6.549035866640029,-0.11,-1.4645,,,,,,,,,,,,,,
B07D0435,53.189748613477036,6.551930989713239,-0.76,,,,,,,,,,,,,,,
B07D0438,53.225655254058786,6.592281578643403,1.85,,,,,,,,,,,,,,,
B07D0441,53.229110762317276,6.597170191175461,-0.01,-0.6472,,,-0.6976,,,,,,,,,,,
